Login Date,IP Address,User Agent,Login Type
Sun Aug 25 00:10:14 UTC 2024,2607:b400:b4:1800:d9ed:96c9:db0c:4283,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",Login
Tue Jun 24 17:47:13 UTC 2025,49.205.41.131,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15",Login
Tue Jul 22 07:06:42 UTC 2025,49.205.42.177,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Login
Tue Aug 05 04:40:26 UTC 2025,38.183.97.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Login
Tue Aug 05 04:40:37 UTC 2025,38.183.97.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Login
Mon Aug 25 23:47:55 UTC 2025,2a09:bac3:c7b1:2828:0:0:400:11,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0 Safari/605.1.15",Login
Fri Feb 27 17:37:36 UTC 2026,2607:b400:b4:1800:b4d8:6d96:1222:13f7,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.31.8586.3 iPhone:26.3,Login
Tue Mar 17 01:08:54 UTC 2026,2607:b400:24:0:7964:eb22:d07d:f56d,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.31.8586.3 iPad:26.2,Login
Mon May 11 00:33:12 UTC 2026,45.3.73.246,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",Login
Tue Jun 30 22:27:35 UTC 2026,73.91.154.109,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0",Login
